date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:27:41	88456/88456	---M--	200	added ('OK')	application/octet-stream	etag:%2261d36256-15988%22	https://opytex.com.br/media/static/fonts/ProximaNovaBold.ttf	C:/Users/opytex-note-1/Documents/opytex/opytex.com.br/media/static/fonts/ProximaNovaBold.ttf	(from https://opytex.com.br/media/static/css/main.css?cb=1601493945154)
18:27:41	39472/39472	---M--	200	added ('OK')	font/woff	etag:%2261d3624c-9a30%22	https://opytex.com.br/media/static/fonts/Proxima%20Nova%20Light.woff	C:/Users/opytex-note-1/Documents/opytex/opytex.com.br/media/static/fonts/Proxima%20Nova%20Light.woff	(from https://opytex.com.br/media/static/css/main.css?cb=1601493945154)
18:27:42	37508/37508	---M--	200	added ('OK')	font/woff	etag:%2261d36242-9284%22	https://opytex.com.br/media/static/fonts/sf-pro-text-regular.woff	C:/Users/opytex-note-1/Documents/opytex/opytex.com.br/media/static/fonts/sf-pro-text-regular.woff	(from https://opytex.com.br/media/static/css/main.css?cb=1601493945154)
18:27:42	2222627/2222627	---M--	200	added ('OK')	image/png	etag:%2261d3634c-21ea23%22	https://opytex.com.br/media/uploads/blog/thumbnail/09.png	C:/Users/opytex-note-1/Documents/opytex/opytex.com.br/media/uploads/blog/thumbnail/09.png	(from https://opytex.com.br/)
18:27:42	145108/145108	---M--	200	added ('OK')	application/octet-stream	etag:%2261d3624a-236d4%22	https://opytex.com.br/media/static/fonts/sf-pro-text-regular.ttf	C:/Users/opytex-note-1/Documents/opytex/opytex.com.br/media/static/fonts/sf-pro-text-regular.ttf	(from https://opytex.com.br/media/static/css/main.css?cb=1601493945154)
18:27:42	42548/42548	---M--	200	added ('OK')	font/woff	etag:%2261d36246-a634%22	https://opytex.com.br/media/static/fonts/sf-pro-text-bold.woff	C:/Users/opytex-note-1/Documents/opytex/opytex.com.br/media/static/fonts/sf-pro-text-bold.woff	(from https://opytex.com.br/media/static/css/main.css?cb=1601493945154)
18:27:42	158176/158176	---M--	200	added ('OK')	application/octet-stream	etag:%2261d36242-269e0%22	https://opytex.com.br/media/static/fonts/sf-pro-text-bold.ttf	C:/Users/opytex-note-1/Documents/opytex/opytex.com.br/media/static/fonts/sf-pro-text-bold.ttf	(from https://opytex.com.br/media/static/css/main.css?cb=1601493945154)
18:27:42	6920/6920	---M--	200	added ('OK')	font/woff	etag:%2261d3624e-1b08%22	https://opytex.com.br/media/static/fonts/REZ.woff	C:/Users/opytex-note-1/Documents/opytex/opytex.com.br/media/static/fonts/REZ.woff	(from https://opytex.com.br/media/static/css/main.css?cb=1601493945154)
18:27:43	51056/51056	---M--	200	added ('OK')	application/octet-stream	etag:%2261d36254-c770%22	https://opytex.com.br/media/static/fonts/rez.ttf	C:/Users/opytex-note-1/Documents/opytex/opytex.com.br/media/static/fonts/rez.ttf	(from https://opytex.com.br/media/static/css/main.css?cb=1601493945154)
18:27:43	25538/25538	---M--	200	added ('OK')	image/png	etag:%2261d3627e-63c2%22	https://opytex.com.br/media/static/img/blog-overlay.png	C:/Users/opytex-note-1/Documents/opytex/opytex.com.br/media/static/img/blog-overlay.png	(from https://opytex.com.br/media/static/css/main.css?cb=1601493945154)
18:27:43	517/517	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2261d3628a-205%22	https://opytex.com.br/media/static/img/strip-line.svg	C:/Users/opytex-note-1/Documents/opytex/opytex.com.br/media/static/img/strip-line.svg	(from https://opytex.com.br/media/static/css/main.css?cb=1601493945154)
18:27:44	3756/3756	---M--	200	added ('OK')	image/png	etag:%2261d36286-eac%22	https://opytex.com.br/media/static/img/side-bar-bg.png	C:/Users/opytex-note-1/Documents/opytex/opytex.com.br/media/static/img/side-bar-bg.png	(from https://opytex.com.br/media/static/css/main.css?cb=1601493945154)
18:27:44	140434/140434	---M--	200	added ('OK')	image/jpeg	etag:%2261d3627e-22492%22	https://opytex.com.br/media/static/img/bg-slide-1.jpg	C:/Users/opytex-note-1/Documents/opytex/opytex.com.br/media/static/img/bg-slide-1.jpg	(from https://opytex.com.br/media/static/css/main.css?cb=1601493945154)
